GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-example-1,org.tryHard,IntegerToRoman,3,190,0,8,1,25,1,5,1,1
maven-example-1,org.tryHard,RomanPrinter,39,329,6,12,13,22,7,11,1,5
